,n,m,A,A0,C1,g1,C2,Q,b,pile_up,width,depth,displacement,x_pileup,x_intersect,hys_width,fd-slope,x_fmax,hist_lowest,clength
494,1.054682228526465,-0.8782692007001391,6.768138581334495e-08,1.311670768015894e-06,122315.0,485.0,5137.0,-288.0,1.0,0.000151651126,6.06604504e-05,0.00515819294,5.19192743,0.0219350327,5.13851118,0.3220973099999993,0.7182393793672642,5.15148592,4.33988571,0.008508680000000268
495,2.2525460060720284,-0.9172038936443472,2.0134792612791802e-11,9.075700515271044e-07,207540.0,445.0,5832.0,-218.0,3.0,6.70122245e-05,2.68048898e-05,0.004588497800000001,4.62494612,0.0206810217,4.57166624,0.25510502000000024,0.8067798432242752,4.58613348,3.79609036,0.008587359999999933
496,2.5853380009040086,-0.619220767462341,3.24520572628954e-12,5.17603321707518e-06,147688.0,438.0,5633.0,-333.0,9.0,0.000195007611,7.800304440000001e-05,0.00522811571,5.2611928,0.0219941083,5.20700741,0.4622607300000006,0.7137382522519199,5.18397331,4.23441124,0.044157030000000035
497,2.339229213795144,-0.534619117475701,9.688721555706383e-12,4.461980032473082e-06,143353.0,377.0,4270.0,-253.0,6.0,0.000231073602,9.24294408e-05,0.005183504429999999,5.21592999,0.0210953094,5.1872406,0.2569665900000002,0.7209792268798387,5.13190937,4.406703,0.03339290999999989
498,1.382172114093303,-0.663248450791321,7.244238999988e-09,3.2817009271300225e-06,96323.0,363.0,3352.0,-232.0,10.0,0.000429350912,0.00017174036480000006,0.00581748178,5.84805965,0.0220485944,5.76756716,0.2799191499999996,0.641601398016827,5.76682043,5.04441071,0.020460130000000017
499,2.7746573490733635,-0.8531326750311561,3.602859885103475e-13,6.90203809424633e-07,129056.0,325.0,3369.0,-186.0,2.0,0.000244722032,9.78888128e-05,0.005104421170000001,5.13752508,0.0206237007,5.1081481,0.14794587999999995,0.7314479556124808,5.05845976,4.41305113,0.0064129800000003465
500,1.225237498538911,-0.9801993469584329,2.6504115725511103e-08,9.965838228648887e-07,216290.0,452.0,5270.0,-324.0,7.0,0.00014606239,5.8424956000000004e-05,0.00482056569,4.85540533,0.0203651246,4.77669859,0.30442762000000023,0.7721230063301671,4.79198265,3.95849586,0.006917480000000253
501,1.837117697354824,-0.6624317981566501,4.5196993998777606e-10,4.176713700079102e-06,71836.0,358.0,3612.0,-186.0,8.0,0.000384883373,0.00015395334920000002,0.005873745309999999,5.90416241,0.0224863105,5.84076738,0.3143563199999999,0.6341437757520106,5.83463907,5.08970022,0.025838380000000605
502,0.617310793534464,-0.505053032481957,1.464209595657749e-06,8.649370672584523e-06,166010.0,368.0,5166.0,-167.0,1.0,-6.92379908e-05,-2.769519632e-05,0.0048579708700000005,4.89194202,0.021229881800000003,4.86194372,0.1826925199999998,0.7765691367834103,4.76454687,4.1251049,0.07401847999999944
503,2.2286970002519437,-0.5855569668949511,3.0635684029644684e-13,5.3765038890152196e-08,143925.0,376.0,5796.0,-222.0,9.0,0.000124266255,4.9706502e-05,0.004892883820000001,4.92829752,0.0213152692,4.87521648,0.3688025399999999,0.7555462011676609,4.89711952,3.99204254,0.0004157999999998552
504,2.0436309316141292,-0.7275697645896899,2.637505530076929e-11,7.099740316625589e-07,121644.0,357.0,3719.0,-216.0,1.0,0.000225292883,9.01171532e-05,0.005158807620000001,5.19205427,0.0210867617,5.16259146,0.17528916000000014,0.7220053733317332,5.12461567,4.45653915,0.005030630000000258
505,1.2484433645278992,-0.95856285214211,1.777288222809669e-09,8.603267762045408e-08,181738.0,378.0,2462.0,-341.0,7.0,0.000523176452,0.00020927058080000003,0.005344808100000001,5.3762722,0.0201217663,5.34824467,0.14341448999999962,0.7011029501339245,5.27739906,4.64276791,0.0005970000000008469
506,1.5956848962825183,-0.8249382855834979,1.210260264410045e-10,1.0754904051024679e-07,118311.0,504.0,2992.0,-241.0,4.0,0.000476222573,0.0001904890292,0.00581655046,5.84693766,0.021644216,5.7757988,0.23344421000000004,0.6384970531273337,5.79485846,5.10688305,0.0007204999999999018
507,1.6204106713737119,-0.713445587906397,1.770056301606802e-09,3.085414417787598e-06,185935.0,377.0,3328.0,-133.0,2.0,0.000177831243,7.113249720000001e-05,0.00484027667,4.87410641,0.0199797042,4.84409142,0.1095695499999998,0.7711018028426597,4.79832888,4.18849277,0.02151823000000075
508,1.086065087994822,-0.5318642487923491,7.397543552612193e-08,8.607922312317864e-06,205821.0,452.0,5247.0,-350.0,2.0,6.207844850000001e-05,2.4831379400000007e-05,0.00479617715,4.83043528,0.0207924359,4.80025005,0.23402548000000056,0.7801485202454073,4.74268675,4.03517628,0.05341148000000029
509,2.895009862127772,-0.7364608387575201,2.895213194502513e-13,2.0981265684110923e-06,121028.0,359.0,5187.0,-190.0,8.0,0.000165975871,6.63903484e-05,0.00509972591,5.13318539,0.0214470699,5.07687521,0.3315582299999997,0.7286463202740004,5.07790947,4.25478601,0.02037573000000048
510,1.9989211601168064,-0.6555612782012531,8.945553694623692e-12,2.4898742011245566e-07,93009.0,499.0,3113.0,-152.0,6.0,0.000455038622,0.0001820154488,0.00592104066,5.95141745,0.0221264455,5.87464285,0.2472252800000003,0.6278877970020179,5.89277267,5.19900703,0.0014228899999997324
511,1.3174357729831399,-0.8689178239840151,9.902693580070552e-09,1.1405662769027165e-06,171278.0,293.0,5417.0,-256.0,9.0,7.5316857e-05,3.01267428e-05,0.00457674591,4.61282349,0.0202151295,4.58109856,0.23643111999999974,0.8126414828020312,4.55305338,3.76264453,0.007825369999999944
512,2.6177172536366933,-0.533253248583876,1.7681090989798707e-12,5.177904689633384e-06,95540.0,478.0,2738.0,-300.0,5.0,0.0006302588150000001,0.0002521035260000001,0.0062368447,6.26551247,0.0224978905,6.19342709,0.2655019699999999,0.597973077836658,6.18756962,5.50861883,0.024396890000000226
513,2.473417278879184,-0.5184239381502279,5.126949037322346e-12,6.18151860243312e-06,199438.0,524.0,2389.0,-265.0,10.0,0.0005967503530000001,0.00023870014120000004,0.00569400564,5.72375917,0.0208282266,5.69714499,0.14520168000000044,0.6603819798173313,5.60281801,5.03670835,0.04097843000000001
