D[-],D_dot[1/s],p[-],p_dot[1/s],Mises[MPa],Hydro[MPa],teq[-],eeq[-],V[mm^3],Sig_tri[-],LoadState
0.0002328778,0.0028743441,0.0367087766,0.0318737088,335.07164804,-3.3832571197,0.0379407131,0.0014072401,0.0016973874,-0.0086685722,Sx
0.0003364798,0.0041440492,0.0375069631,0.0319333614,334.9838404,-3.4488023275,0.0387382257,0.0014067415,0.0016973887,-0.0087407447,Sx
0.0004054971,0.0055413385,0.0379069276,0.0320318452,334.84016588,-3.4797405246,0.0391366989,0.001406065,0.0016973854,-0.0087386583,Sx
0.0004917869,0.0069159445,0.0383081768,0.0321197292,334.44850336,-3.5071251783,0.0395357655,0.0014043769,0.0016973855,-0.0087212783,Sx
0.000540113,0.0077804086,0.0385091214,0.0322022377,334.19470901,-3.5198783115,0.0397350433,0.0014033671,0.001697384,-0.0086636377,Sx
0.0005937212,0.0086330594,0.0387105559,0.0322765169,333.82839498,-3.5311168601,0.0399344453,0.0014019493,0.0016973834,-0.0087457597,Sx
0.0006766006,0.0088950529,0.0390129358,0.0322960383,333.19154926,-3.5467838441,0.040233523,0.0013994358,0.0016973832,-0.0088426546,Sx
0.0007193738,0.0092449732,0.0391641693,0.0323538555,332.86554154,-3.5543989464,0.0403827068,0.0013982445,0.0016973814,-0.0089100213,Sx
0.0007589147,0.0085563246,0.0393153812,0.0323388626,332.5374836,-3.562100033,0.0405320057,0.0013970431,0.0016973804,-0.0091136767,Sx
0.000813873,0.0079297418,0.0395421764,0.0323270666,332.04748181,-3.5737821979,0.0407560891,0.0013951913,0.0016973794,-0.0091206068,Sx
0.0008386317,0.007206958,0.0396553816,0.0323107742,331.85042143,-3.5802262464,0.0408679159,0.0013945276,0.0016973779,-0.0091877687,Sx
0.0008644154,0.007514105,0.0397687919,0.0323697523,331.61077074,-3.5861034648,0.0409798185,0.0013937343,0.0016973768,-0.0091103077,Sx
0.0008898298,0.0074408683,0.0398823095,0.0324179261,331.34431398,-3.5916319738,0.0410916601,0.0013928927,0.0016973754,-0.0091582527,Sx
0.0009147651,0.0073643961,0.0399959138,0.0324758174,331.04375031,-3.5967483791,0.0412033365,0.0013920267,0.0016973737,-0.0090914634,Sx
0.0009394831,0.0074162686,0.0401096469,0.032575808,330.67301079,-3.6010178936,0.0413146392,0.0013911048,0.0016973713,-0.0090195207,Sx
0.0009763299,0.0074199414,0.0402801526,0.0325809977,330.11279327,-3.6073724738,0.0414813648,0.001389822,0.0016973675,-0.0092441155,Sx
0.0010029446,0.0071569998,0.0404077638,0.0325181112,329.784657,-3.6132442882,0.0416064166,0.0013891869,0.0016973644,-0.009698004,Sx
0.0010400926,0.006561469,0.0405988877,0.032391751,329.46313998,-3.6243779291,0.0417949055,0.0013884461,0.0016973616,-0.0097846035,Sx
0.0010928366,0.006266393,0.040885665,0.0324238279,329.00646932,-3.6413819491,0.0420776543,0.0013876752,0.0016973571,-0.0098907333,Sx
0.0011439611,0.0060853482,0.0411727356,0.0324679411,328.64883978,-3.6593324622,0.0423607782,0.0013872919,0.0016973519,-0.0101912361,Sx
0.0011925599,0.0057873979,0.0414604685,0.0325389212,328.33008902,-3.6776431428,0.0426447071,0.0013869937,0.001697347,-0.0103026253,Sx
0.0012317882,0.0062547587,0.0416768027,0.0326608799,328.07812302,-3.6909486737,0.0428577562,0.0013868945,0.0016973423,-0.0104778654,Sx
0.0012621306,0.0064420061,0.0418394145,0.0327402329,327.88854871,-3.7008631739,0.0430178367,0.0013868372,0.0016973388,-0.0106899499,Sx
0.0013093456,0.0065338256,0.0420842994,0.0327839318,327.61660514,-3.7157773625,0.0432596126,0.0013863578,0.0016973362,-0.0107994407,Sx
